,"(deg C) Max Temperature (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1950-01-01",18.56
"1950-02-01",21.83
"1950-03-01",23.73
"1950-04-01",28.87
"1950-05-01",30.32
"1950-06-01",34.88
"1950-07-01",32.62
"1950-08-01",34.22
"1950-09-01",33.37
"1950-10-01",32.87
"1950-11-01",26.62
"1950-12-01",23.78
"1951-01-01",16.34
"1951-02-01",18.79
"1951-03-01",21
"1951-04-01",24.33
"1951-05-01",30.14
"1951-06-01",34.83
"1951-07-01",36.74
"1951-08-01",33.76
"1951-09-01",34.48
"1951-10-01",29.98
"1951-11-01",21.77
"1951-12-01",17.98
"1952-01-01",19.27
"1952-02-01",17.32
"1952-03-01",16.55
"1952-04-01",24.35
"1952-05-01",31.02
"1952-06-01",34.97
"1952-07-01",35.58
"1952-08-01",34.09
"1952-09-01",34.17
"1952-10-01",31.4
"1952-11-01",19.41
"1952-12-01",15.54
"1953-01-01",19.43
"1953-02-01",18.43
"1953-03-01",22.08
"1953-04-01",24.92
"1953-05-01",27.55
"1953-06-01",36.44
"1953-07-01",34.42
"1953-08-01",34.82
"1953-09-01",35.14
"1953-10-01",28.94
"1953-11-01",23.56
"1953-12-01",16.42
"1954-01-01",18.45
"1954-02-01",22.2
"1954-03-01",21.12
"1954-04-01",28.95
"1954-05-01",30.48
"1954-06-01",35.45
"1954-07-01",34.65
"1954-08-01",31.56
"1954-09-01",33.64
"1954-10-01",30.21
"1954-11-01",24.2
"1954-12-01",18.63
"1955-01-01",13.15
"1955-02-01",16.79
"1955-03-01",22.25
"1955-04-01",25.9
"1955-05-01",29.17
"1955-06-01",34.88
"1955-07-01",33.91
"1955-08-01",31.69
"1955-09-01",33.6
"1955-10-01",30.04
"1955-11-01",22.37
"1955-12-01",20.4
"1956-01-01",19.72
"1956-02-01",16.42
"1956-03-01",24.17
"1956-04-01",24.95
"1956-05-01",32.54
"1956-06-01",36.49
"1956-07-01",34.38
"1956-08-01",33.33
"1956-09-01",35.15
"1956-10-01",29.03
"1956-11-01",20.73
"1956-12-01",17.29
"1957-01-01",16.91
"1957-02-01",23.08
"1957-03-01",21.17
"1957-04-01",25.53
"1957-05-01",28.24
"1957-06-01",36.05
"1957-07-01",35.47
"1957-08-01",33.06
"1957-09-01",33.1
"1957-10-01",25.2
"1957-11-01",18.6
"1957-12-01",19.03
"1958-01-01",16.43
"1958-02-01",19.05
"1958-03-01",17.42
"1958-04-01",25
"1958-05-01",33.02
"1958-06-01",36.05
"1958-07-01",35.28
"1958-08-01",33.27
"1958-09-01",31.17
"1958-10-01",26.09
"1958-11-01",21.2
"1958-12-01",21.03
"1959-01-01",19.99
"1959-02-01",18.4
"1959-03-01",22.66
"1959-04-01",27.8
"1959-05-01",30.3
"1959-06-01",36.35
"1959-07-01",35.08
"1959-08-01",31.35
"1959-09-01",32.59
"1959-10-01",28.08
"1959-11-01",19.61
"1959-12-01",15.98
"1960-01-01",13.74
"1960-02-01",16.12
"1960-03-01",24.59
"1960-04-01",27.15
"1960-05-01",30.71
"1960-06-01",36.86
"1960-07-01",35.24
"1960-08-01",34.34
"1960-09-01",33.49
"1960-10-01",26.51
"1960-11-01",22.93
"1960-12-01",16.68
"1961-01-01",16.45
"1961-02-01",19.48
"1961-03-01",22.28
"1961-04-01",27.35
"1961-05-01",31.61
"1961-06-01",36.55
"1961-07-01",35.56
"1961-08-01",32.88
"1961-09-01",30.86
"1961-10-01",27.34
"1961-11-01",18.66
"1961-12-01",15.93
"1962-01-01",14.95
"1962-02-01",19.92
"1962-03-01",18.9
"1962-04-01",28.68
"1962-05-01",30.35
"1962-06-01",34.82
"1962-07-01",33.92
"1962-08-01",36.33
"1962-09-01",32.4
"1962-10-01",29.03
"1962-11-01",23.77
"1962-12-01",17.57
"1963-01-01",16.9
"1963-02-01",21.3
"1963-03-01",22.6
"1963-04-01",26.09
"1963-05-01",32.25
"1963-06-01",34.68
"1963-07-01",35.93
"1963-08-01",31.93
"1963-09-01",32.61
"1963-10-01",29.34
"1963-11-01",21.43
"1963-12-01",17.6
"1964-01-01",16.03
"1964-02-01",16.46
"1964-03-01",19.44
"1964-04-01",24.44
"1964-05-01",30.89
"1964-06-01",34.31
"1964-07-01",35.07
"1964-08-01",32.44
"1964-09-01",30.17
"1964-10-01",28.8
"1964-11-01",20.16
"1964-12-01",17.72
"1965-01-01",18.31
"1965-02-01",17.82
"1965-03-01",20.24
"1965-04-01",25.99
"1965-05-01",29.86
"1965-06-01",33.01
"1965-07-01",34.71
"1965-08-01",34.45
"1965-09-01",31.44
"1965-10-01",29.46
"1965-11-01",23.86
"1965-12-01",16.15
"1966-01-01",14.9
"1966-02-01",15.25
"1966-03-01",23.2
"1966-04-01",26.91
"1966-05-01",31.41
"1966-06-01",34.86
"1966-07-01",35.04
"1966-08-01",32.3
"1966-09-01",30.17
"1966-10-01",27.68
"1966-11-01",23.5
"1966-12-01",17.63
"1967-01-01",18.67
"1967-02-01",20.86
"1967-03-01",24.95
"1967-04-01",25.46
"1967-05-01",29.71
"1967-06-01",33.51
"1967-07-01",33.68
"1967-08-01",33.23
"1967-09-01",30.55
"1967-10-01",28.56
"1967-11-01",23.16
"1967-12-01",14.54
"1968-01-01",16.77
"1968-02-01",20.64
"1968-03-01",20.29
"1968-04-01",23.7
"1968-05-01",30.21
"1968-06-01",36.39
"1968-07-01",33.55
"1968-08-01",31.44
"1968-09-01",31.67
"1968-10-01",29.44
"1968-11-01",20.92
"1968-12-01",17.12
"1969-01-01",18.77
"1969-02-01",17.55
"1969-03-01",19.09
"1969-04-01",27.06
"1969-05-01",30.53
"1969-06-01",34.57
"1969-07-01",34.44
"1969-08-01",35.35
"1969-09-01",32.41
"1969-10-01",26.76
"1969-11-01",20.17
"1969-12-01",17.8
"1970-01-01",16.8
"1970-02-01",19.9
"1970-03-01",19.48
"1970-04-01",23.69
"1970-05-01",30.71
"1970-06-01",35.21
"1970-07-01",35.48
"1970-08-01",33.84
"1970-09-01",30.73
"1970-10-01",25.8
"1970-11-01",23.38
"1970-12-01",18.66
"1971-01-01",18.55
"1971-02-01",18.95
"1971-03-01",23.94
"1971-04-01",25.38
"1971-05-01",28.75
"1971-06-01",34.81
"1971-07-01",36.44
"1971-08-01",32
"1971-09-01",32.01
"1971-10-01",24.02
"1971-11-01",21.28
"1971-12-01",14.51
"1972-01-01",18.08
"1972-02-01",20.72
"1972-03-01",26.27
"1972-04-01",27.45
"1972-05-01",30.01
"1972-06-01",33.81
"1972-07-01",35.77
"1972-08-01",33.54
"1972-09-01",31.42
"1972-10-01",25.41
"1972-11-01",18.42
"1972-12-01",16.56
"1973-01-01",14.5
"1973-02-01",17.07
"1973-03-01",17.42
"1973-04-01",22.42
"1973-05-01",29.89
"1973-06-01",34.74
"1973-07-01",34.73
"1973-08-01",34.98
"1973-09-01",33.47
"1973-10-01",29.11
"1973-11-01",22.51
"1973-12-01",18.95
"1974-01-01",16.97
"1974-02-01",18.82
"1974-03-01",23.39
"1974-04-01",26.71
"1974-05-01",31.81
"1974-06-01",37.97
"1974-07-01",33.81
"1974-08-01",33.15
"1974-09-01",30.28
"1974-10-01",25.26
"1974-11-01",20.66
"1974-12-01",15.06
"1975-01-01",17.08
"1975-02-01",17.83
"1975-03-01",20.37
"1975-04-01",22.61
"1975-05-01",28.8
"1975-06-01",34.73
"1975-07-01",33.64
"1975-08-01",35.42
"1975-09-01",30.92
"1975-10-01",27.88
"1975-11-01",22.38
"1975-12-01",17.17
"1976-01-01",16.91
"1976-02-01",19.95
"1976-03-01",21.47
"1976-04-01",24.73
"1976-05-01",29.56
"1976-06-01",35.12
"1976-07-01",32.79
"1976-08-01",33.76
"1976-09-01",29.85
"1976-10-01",24.2
"1976-11-01",19.75
"1976-12-01",15.86
"1977-01-01",14.66
"1977-02-01",20.04
"1977-03-01",19.41
"1977-04-01",25.74
"1977-05-01",28.77
"1977-06-01",35.8
"1977-07-01",34.37
"1977-08-01",34.08
"1977-09-01",32.12
"1977-10-01",26.87
"1977-11-01",23.1
"1977-12-01",19.53
"1978-01-01",16.05
"1978-02-01",16.48
"1978-03-01",21.7
"1978-04-01",26.03
"1978-05-01",29.91
"1978-06-01",37.21
"1978-07-01",36.94
"1978-08-01",34.02
"1978-09-01",31.5
"1978-10-01",28.09
"1978-11-01",19.77
"1978-12-01",14.21
"1979-01-01",12.6
"1979-02-01",18.23
"1979-03-01",20.34
"1979-04-01",25.92
"1979-05-01",28.17
"1979-06-01",34.2
"1979-07-01",36.37
"1979-08-01",33.8
"1979-09-01",33.42
"1979-10-01",30.08
"1979-11-01",20.03
"1979-12-01",17.98
"1980-01-01",17.39
"1980-02-01",19.3
"1980-03-01",20.02
"1980-04-01",25.85
"1980-05-01",28.63
"1980-06-01",38.02
"1980-07-01",36.74
"1980-08-01",33.68
"1980-09-01",32.89
"1980-10-01",26.38
"1980-11-01",21.47
"1980-12-01",20.22
"1981-01-01",17.024
"1981-02-01",20.098
"1981-03-01",19.319
"1981-04-01",26.919
"1981-05-01",29.112
"1981-06-01",36.266
"1981-07-01",34.07
"1981-08-01",33.726
"1981-09-01",32.276
"1981-10-01",26.236
"1981-11-01",24.385
"1981-12-01",20.147
"1982-01-01",16.629
"1982-02-01",18.996
"1982-03-01",21.974
"1982-04-01",26.865
"1982-05-01",29.592
"1982-06-01",35.27
"1982-07-01",35.391
"1982-08-01",33.448
"1982-09-01",32.494
"1982-10-01",28.197
"1982-11-01",19.93
"1982-12-01",15.023
