,"(deg C) Mean Temperature (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1950-01-01",9.125
"1950-02-01",12.14
"1950-03-01",14.24
"1950-04-01",18.47
"1950-05-01",19.76
"1950-06-01",24.925
"1950-07-01",25.1
"1950-08-01",24.94
"1950-09-01",23.045
"1950-10-01",21.22
"1950-11-01",15.25
"1950-12-01",10.89
"1951-01-01",6.625
"1951-02-01",9.08
"1951-03-01",10.98
"1951-04-01",14.82
"1951-05-01",19.23
"1951-06-01",24.075
"1951-07-01",27.715
"1951-08-01",25.955
"1951-09-01",24.315
"1951-10-01",19.45
"1951-11-01",12.1
"1951-12-01",8.38
"1952-01-01",9.42
"1952-02-01",7.54
"1952-03-01",8.195
"1952-04-01",14.995
"1952-05-01",20.47
"1952-06-01",24.9
"1952-07-01",26.63
"1952-08-01",26.265
"1952-09-01",24.29
"1952-10-01",19.585
"1952-11-01",10.18
"1952-12-01",6.685
"1953-01-01",8.72
"1953-02-01",7.87
"1953-03-01",13.43
"1953-04-01",15.615
"1953-05-01",17.615
"1953-06-01",26.27
"1953-07-01",27.065
"1953-08-01",26.19
"1953-09-01",24.735
"1953-10-01",17.765
"1953-11-01",13.29
"1953-12-01",6.7
"1954-01-01",9.565
"1954-02-01",12.25
"1954-03-01",12.215
"1954-04-01",18.7
"1954-05-01",20.64
"1954-06-01",25.01
"1954-07-01",26.71
"1954-08-01",24.145
"1954-09-01",24.81
"1954-10-01",20.155
"1954-11-01",13.825
"1954-12-01",9.05
"1955-01-01",5.18
"1955-02-01",7.085
"1955-03-01",12.58
"1955-04-01",14.965
"1955-05-01",19.275
"1955-06-01",24.64
"1955-07-01",25.935
"1955-08-01",24.745
"1955-09-01",23.675
"1955-10-01",19.775
"1955-11-01",12.4
"1955-12-01",10.765
"1956-01-01",10.58
"1956-02-01",7.365
"1956-03-01",13.41
"1956-04-01",15.395
"1956-05-01",21.54
"1956-06-01",26.8
"1956-07-01",26.165
"1956-08-01",24.99
"1956-09-01",25.285
"1956-10-01",18.82
"1956-11-01",10.625
"1956-12-01",8.09
"1957-01-01",9.51
"1957-02-01",13.675
"1957-03-01",12.555
"1957-04-01",15.555
"1957-05-01",18.395
"1957-06-01",26.14
"1957-07-01",27.455
"1957-08-01",25.465
"1957-09-01",23.43
"1957-10-01",17.055
"1957-11-01",9.635
"1957-12-01",9.84
"1958-01-01",7.24
"1958-02-01",10.63
"1958-03-01",9.58
"1958-04-01",15.44
"1958-05-01",22.91
"1958-06-01",26.655
"1958-07-01",27.035
"1958-08-01",25.605
"1958-09-01",23.25
"1958-10-01",17.785
"1958-11-01",11.745
"1958-12-01",10.76
"1959-01-01",9.94
"1959-02-01",9.185
"1959-03-01",12.465
"1959-04-01",17.83
"1959-05-01",20.02
"1959-06-01",26.745
"1959-07-01",26.87
"1959-08-01",24.56
"1959-09-01",23.6
"1959-10-01",18.195
"1959-11-01",11.29
"1959-12-01",8.245
"1960-01-01",5.63
"1960-02-01",7.015
"1960-03-01",14.27
"1960-04-01",16.745
"1960-05-01",20.135
"1960-06-01",26.355
"1960-07-01",26.85
"1960-08-01",26.28
"1960-09-01",24.41
"1960-10-01",17.17
"1960-11-01",13.215
"1960-12-01",7.39
"1961-01-01",8.335
"1961-02-01",9.86
"1961-03-01",12.43
"1961-04-01",17.09
"1961-05-01",20.805
"1961-06-01",26.375
"1961-07-01",27.16
"1961-08-01",25.26
"1961-09-01",22.59
"1961-10-01",17.675
"1961-11-01",10.28
"1961-12-01",8.325
"1962-01-01",6.94
"1962-02-01",11.17
"1962-03-01",9.77
"1962-04-01",18.435
"1962-05-01",19.665
"1962-06-01",24.025
"1962-07-01",26.01
"1962-08-01",27.445
"1962-09-01",24.2
"1962-10-01",19.09
"1962-11-01",14.28
"1962-12-01",9.535
"1963-01-01",7.53
"1963-02-01",11.565
"1963-03-01",12.08
"1963-04-01",15.51
"1963-05-01",22.035
"1963-06-01",24.085
"1963-07-01",27.495
"1963-08-01",24.77
"1963-09-01",24.035
"1963-10-01",19.71
"1963-11-01",12.075
"1963-12-01",7.86
"1964-01-01",6.19
"1964-02-01",6.44
"1964-03-01",9.935
"1964-04-01",14.63
"1964-05-01",19.95
"1964-06-01",24.48
"1964-07-01",26.91
"1964-08-01",24.97
"1964-09-01",22.4
"1964-10-01",19.23
"1964-11-01",10.65
"1964-12-01",8.885
"1965-01-01",9.54
"1965-02-01",8.43
"1965-03-01",10.81
"1965-04-01",15.965
"1965-05-01",19.17
"1965-06-01",22.63
"1965-07-01",26.46
"1965-08-01",26.01
"1965-09-01",22.7
"1965-10-01",18.98
"1965-11-01",14.65
"1965-12-01",8.79
"1966-01-01",6.43
"1966-02-01",6.555
"1966-03-01",13.005
"1966-04-01",16.675
"1966-05-01",21.155
"1966-06-01",25.14
"1966-07-01",26.995
"1966-08-01",25.095
"1966-09-01",22.41
"1966-10-01",17.61
"1966-11-01",13.78
"1966-12-01",8.505
"1967-01-01",8.455
"1967-02-01",10.72
"1967-03-01",15.2
"1967-04-01",14.975
"1967-05-01",19.045
"1967-06-01",23.61
"1967-07-01",26.105
"1967-08-01",25.17
"1967-09-01",22.465
"1967-10-01",18.285
"1967-11-01",13.495
"1967-12-01",6.565
"1968-01-01",8.09
"1968-02-01",11.88
"1968-03-01",11.685
"1968-04-01",14.07
"1968-05-01",19.525
"1968-06-01",25.495
"1968-07-01",25.435
"1968-08-01",23.515
"1968-09-01",22.445
"1968-10-01",18.375
"1968-11-01",11.48
"1968-12-01",6.915
"1969-01-01",9.87
"1969-02-01",8.5
"1969-03-01",9.75
"1969-04-01",16.81
"1969-05-01",20.61
"1969-06-01",24.605
"1969-07-01",26.945
"1969-08-01",27.305
"1969-09-01",24.11
"1969-10-01",17.35
"1969-11-01",11.23
"1969-12-01",9.305
"1970-01-01",7.245
"1970-02-01",10.61
"1970-03-01",10.67
"1970-04-01",13.79
"1970-05-01",20.61
"1970-06-01",25.62
"1970-07-01",27.69
"1970-08-01",26.13
"1970-09-01",22.795
"1970-10-01",16.2
"1970-11-01",13.245
"1970-12-01",9.88
"1971-01-01",8.865
"1971-02-01",9.59
"1971-03-01",13.765
"1971-04-01",15.545
"1971-05-01",19.14
"1971-06-01",25.04
"1971-07-01",28.325
"1971-08-01",25.135
"1971-09-01",23.905
"1971-10-01",16.02
"1971-11-01",12.32
"1971-12-01",7.11
"1972-01-01",8.67
"1972-02-01",11.19
"1972-03-01",16.64
"1972-04-01",16.895
"1972-05-01",19.95
"1972-06-01",24.51
"1972-07-01",27.735
"1972-08-01",25.845
"1972-09-01",23.355
"1972-10-01",17.75
"1972-11-01",9.565
"1972-12-01",7.885
"1973-01-01",6.42
"1973-02-01",9.3
"1973-03-01",9.645
"1973-04-01",13.665
"1973-05-01",20.225
"1973-06-01",25.175
"1973-07-01",26.775
"1973-08-01",26.63
"1973-09-01",24.32
"1973-10-01",19
"1973-11-01",12.915
"1973-12-01",9.165
"1974-01-01",8.605
"1974-02-01",8.85
"1974-03-01",14.165
"1974-04-01",16.68
"1974-05-01",21.315
"1974-06-01",27.67
"1974-07-01",26.125
"1974-08-01",25.25
"1974-09-01",22.5
