,"(mm) Precipitation (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1950-01-01",7.71
"1950-02-01",19.52
"1950-03-01",3.77
"1950-04-01",0
"1950-05-01",0
"1950-06-01",24.23
"1950-07-01",144.4
"1950-08-01",17.95
"1950-09-01",3.31
"1950-10-01",6.69
"1950-11-01",0
"1950-12-01",0
"1951-01-01",21.11
"1951-02-01",5.91
"1951-03-01",4.97
"1951-04-01",27.62
"1951-05-01",5.28
"1951-06-01",0
"1951-07-01",60.81
"1951-08-01",80.85
"1951-09-01",14.27
"1951-10-01",29.52
"1951-11-01",13.91
"1951-12-01",16.83
"1952-01-01",8.54
"1952-02-01",1.18
"1952-03-01",34.99
"1952-04-01",31.87
"1952-05-01",0.13
"1952-06-01",39.36
"1952-07-01",54.71
"1952-08-01",57.98
"1952-09-01",14.88
"1952-10-01",0
"1952-11-01",40.92
"1952-12-01",9.72
"1953-01-01",0
"1953-02-01",11.81
"1953-03-01",20.46
"1953-04-01",0.52
"1953-05-01",0
"1953-06-01",1.6
"1953-07-01",89.48
"1953-08-01",18.92
"1953-09-01",0
"1953-10-01",3
"1953-11-01",0.66
"1953-12-01",0.85
"1954-01-01",17.7
"1954-02-01",3.51
"1954-03-01",11.44
"1954-04-01",0
"1954-05-01",19.06
"1954-06-01",22.93
"1954-07-01",85.92
"1954-08-01",125.08
"1954-09-01",21.28
"1954-10-01",11.2
"1954-11-01",0
"1954-12-01",0.04
"1955-01-01",35.45
"1955-02-01",5.5
"1955-03-01",8.59
"1955-04-01",0
"1955-05-01",2.6
"1955-06-01",3.08
"1955-07-01",168.81
"1955-08-01",107.94
"1955-09-01",5.13
"1955-10-01",9.02
"1955-11-01",0
"1955-12-01",3.66
"1956-01-01",17.69
"1956-02-01",7.41
"1956-03-01",0
"1956-04-01",2.17
"1956-05-01",1.03
"1956-06-01",19.56
"1956-07-01",100.81
"1956-08-01",35.41
"1956-09-01",0.14
"1956-10-01",5.28
"1956-11-01",1.45
"1956-12-01",5.45
"1957-01-01",35.3
"1957-02-01",4.42
"1957-03-01",33.69
"1957-04-01",2.47
"1957-05-01",5.1
"1957-06-01",6.96
"1957-07-01",68.49
"1957-08-01",109.57
"1957-09-01",0.01
"1957-10-01",36.47
"1957-11-01",8.12
"1957-12-01",11.3
"1958-01-01",0.07
"1958-02-01",28.36
"1958-03-01",57.71
"1958-04-01",17.21
"1958-05-01",0
"1958-06-01",12.66
"1958-07-01",71.21
"1958-08-01",89.74
"1958-09-01",65
"1958-10-01",33.09
"1958-11-01",14.43
"1958-12-01",0
"1959-01-01",0
"1959-02-01",14.04
"1959-03-01",0
"1959-04-01",7.56
"1959-05-01",0
"1959-06-01",15.53
"1959-07-01",124.71
"1959-08-01",114.11
"1959-09-01",7.44
"1959-10-01",42.35
"1959-11-01",25.95
"1959-12-01",29.73
"1960-01-01",45.52
"1960-02-01",14.43
"1960-03-01",6.24
"1960-04-01",0
"1960-05-01",0
"1960-06-01",7.3
"1960-07-01",46.05
"1960-08-01",46.44
"1960-09-01",34.94
"1960-10-01",22.28
"1960-11-01",5.63
"1960-12-01",21.08
"1961-01-01",23.84
"1961-02-01",1.26
"1961-03-01",0.61
"1961-04-01",0
"1961-05-01",0
"1961-06-01",18.81
"1961-07-01",57
"1961-08-01",110.63
"1961-09-01",23.73
"1961-10-01",41.07
"1961-11-01",11.45
"1961-12-01",30.32
"1962-01-01",41.46
"1962-02-01",4.8
"1962-03-01",13.94
"1962-04-01",0
"1962-05-01",0
"1962-06-01",8.65
"1962-07-01",96.18
"1962-08-01",12.58
"1962-09-01",53.01
"1962-10-01",4.8
"1962-11-01",12.68
"1962-12-01",32.66
"1963-01-01",7.64
"1963-02-01",10.84
"1963-03-01",1.82
"1963-04-01",2.82
"1963-05-01",0
"1963-06-01",1.03
"1963-07-01",89.36
"1963-08-01",90.12
"1963-09-01",43.9
"1963-10-01",8.93
"1963-11-01",28.12
"1963-12-01",8.93
"1964-01-01",5.85
"1964-02-01",0
"1964-03-01",19.68
"1964-04-01",2.42
"1964-05-01",0
"1964-06-01",1.62
"1964-07-01",100.03
"1964-08-01",61.51
"1964-09-01",70.79
"1964-10-01",22.59
"1964-11-01",24.28
"1964-12-01",1.63
"1965-01-01",16.23
"1965-02-01",5.39
"1965-03-01",8.3
"1965-04-01",1.98
"1965-05-01",0.55
"1965-06-01",4.52
"1965-07-01",104.59
"1965-08-01",66.22
"1965-09-01",29.22
"1965-10-01",0
"1965-11-01",8.51
"1965-12-01",94.84
"1966-01-01",12.87
"1966-02-01",39.9
"1966-03-01",1.57
"1966-04-01",1.14
"1966-05-01",0
"1966-06-01",5.94
"1966-07-01",145.83
"1966-08-01",159.51
"1966-09-01",68.6
"1966-10-01",0
"1966-11-01",9.42
"1966-12-01",0.51
"1967-01-01",0
"1967-02-01",6.59
"1967-03-01",4.21
"1967-04-01",6.72
"1967-05-01",8.52
"1967-06-01",10.56
"1967-07-01",104.35
"1967-08-01",75.56
"1967-09-01",66.72
"1967-10-01",17.63
"1967-11-01",6.34
"1967-12-01",105.19
"1968-01-01",16.96
"1968-02-01",29.56
"1968-03-01",26.75
"1968-04-01",6.77
"1968-05-01",0
"1968-06-01",0
"1968-07-01",59.34
"1968-08-01",102.17
"1968-09-01",8.1
"1968-10-01",2.03
"1968-11-01",18.7
"1968-12-01",14.28
"1969-01-01",9.61
"1969-02-01",14.58
"1969-03-01",6.36
"1969-04-01",0
"1969-05-01",11.33
"1969-06-01",0
"1969-07-01",131.73
"1969-08-01",86.48
"1969-09-01",27.22
"1969-10-01",2.86
"1969-11-01",13.97
"1969-12-01",10.97
"1970-01-01",0
"1970-02-01",8.64
"1970-03-01",29.43
"1970-04-01",4.09
"1970-05-01",0.39
"1970-06-01",15.09
"1970-07-01",39.75
"1970-08-01",125.91
"1970-09-01",53.22
"1970-10-01",8.84
"1970-11-01",0
"1970-12-01",8.31
"1971-01-01",2.96
"1971-02-01",12.58
"1971-03-01",0
"1971-04-01",11.06
"1971-05-01",0
"1971-06-01",6.58
