,"(deg C) Max Temperature (PRISM MONTHLY) at -110.8661E,31.8214N, Jan 1950 to May 2022"
"1950-01-01",17.98
"1950-02-01",20.75
"1950-03-01",22.88
"1950-04-01",28.24
"1950-05-01",29.54
"1950-06-01",35.18
"1950-07-01",32.56
"1950-08-01",33.93
"1950-09-01",32.26
"1950-10-01",32.38
"1950-11-01",25.52
"1950-12-01",22.47
"1951-01-01",16.92
"1951-02-01",18.13
"1951-03-01",20.88
"1951-04-01",24.7
"1951-05-01",29.6
"1951-06-01",34.53
"1951-07-01",36.53
"1951-08-01",33.77
"1951-09-01",34.89
"1951-10-01",28.69
"1951-11-01",20.42
"1951-12-01",17
"1952-01-01",17.38
"1952-02-01",17.43
"1952-03-01",17.14
"1952-04-01",24.12
"1952-05-01",31.1
"1952-06-01",35.03
"1952-07-01",36.02
"1952-08-01",33.87
"1952-09-01",34.63
"1952-10-01",32.25
"1952-11-01",19.61
"1952-12-01",15.95
"1953-01-01",19.97
"1953-02-01",18.63
"1953-03-01",21.91
"1953-04-01",24.68
"1953-05-01",27.12
"1953-06-01",35.89
"1953-07-01",34.42
"1953-08-01",35
"1953-09-01",35.83
"1953-10-01",28.87
"1953-11-01",23.47
"1953-12-01",16.99
"1954-01-01",18.92
"1954-02-01",22.7
"1954-03-01",20.65
"1954-04-01",28.5
"1954-05-01",30.42
"1954-06-01",34.74
"1954-07-01",34.15
"1954-08-01",31.16
"1954-09-01",32.84
"1954-10-01",29.83
"1954-11-01",24.56
"1954-12-01",19.63
"1955-01-01",13.94
"1955-02-01",16.83
"1955-03-01",22.14
"1955-04-01",25.7
"1955-05-01",29.13
"1955-06-01",35.03
"1955-07-01",34.07
"1955-08-01",30.32
"1955-09-01",32.87
"1955-10-01",30.1
"1955-11-01",22.53
"1955-12-01",20.23
"1956-01-01",20.15
"1956-02-01",15.68
"1956-03-01",24.11
"1956-04-01",24.79
"1956-05-01",31.92
"1956-06-01",36.64
"1956-07-01",34.84
"1956-08-01",33.63
"1956-09-01",35.7
"1956-10-01",28.89
"1956-11-01",21.41
"1956-12-01",18.08
"1957-01-01",17.27
"1957-02-01",21.79
"1957-03-01",20.75
"1957-04-01",24.87
"1957-05-01",27.99
"1957-06-01",36.11
"1957-07-01",35.45
"1957-08-01",33.45
"1957-09-01",33.4
"1957-10-01",25.55
"1957-11-01",18.63
"1957-12-01",19.5
"1958-01-01",17.56
"1958-02-01",19.36
"1958-03-01",17.18
"1958-04-01",24.71
"1958-05-01",33.36
"1958-06-01",36.3
"1958-07-01",35.27
"1958-08-01",32.47
"1958-09-01",32.04
"1958-10-01",27.68
"1958-11-01",21.33
"1958-12-01",21.9
"1959-01-01",20.29
"1959-02-01",18.22
"1959-03-01",22.83
"1959-04-01",27.66
"1959-05-01",29.79
"1959-06-01",36.38
"1959-07-01",34.9
"1959-08-01",30.82
"1959-09-01",32.35
"1959-10-01",28.28
"1959-11-01",20.14
"1959-12-01",16.96
"1960-01-01",14.03
"1960-02-01",15.74
"1960-03-01",24.25
"1960-04-01",26.93
"1960-05-01",30.42
"1960-06-01",36.96
"1960-07-01",36.19
"1960-08-01",34.29
"1960-09-01",33.67
"1960-10-01",26.41
"1960-11-01",22.79
"1960-12-01",17.33
"1961-01-01",18.12
"1961-02-01",19.25
"1961-03-01",21.99
"1961-04-01",26.49
"1961-05-01",31.41
"1961-06-01",36.6
"1961-07-01",35.54
"1961-08-01",32.38
"1961-09-01",29.97
"1961-10-01",27.29
"1961-11-01",18.4
"1961-12-01",16.3
"1962-01-01",15.53
"1962-02-01",19.26
"1962-03-01",18.48
"1962-04-01",28.33
"1962-05-01",29.63
"1962-06-01",34.32
"1962-07-01",34.6
"1962-08-01",36.29
"1962-09-01",32.48
"1962-10-01",28.49
"1962-11-01",23.55
"1962-12-01",17.74
"1963-01-01",15.51
"1963-02-01",21.29
"1963-03-01",21.25
"1963-04-01",25.01
"1963-05-01",32.14
"1963-06-01",34.08
"1963-07-01",36.44
"1963-08-01",31.24
"1963-09-01",32.53
"1963-10-01",30.19
"1963-11-01",21.21
"1963-12-01",18.33
"1964-01-01",16.48
"1964-02-01",16.43
"1964-03-01",18.5
"1964-04-01",23.9
"1964-05-01",30.32
