,"(deg C) Mean Temperature (PRISM MONTHLY) at -110.8661E,31.8214N, Jan 1950 to May 2022"
"1950-01-01",9.58
"1950-02-01",12.455
"1950-03-01",14.4
"1950-04-01",19.19
"1950-05-01",20.485
"1950-06-01",26.16
"1950-07-01",26.14
"1950-08-01",26.605
"1950-09-01",24.12
"1950-10-01",23.66
"1950-11-01",16.705
"1950-12-01",13.91
"1951-01-01",9.285
"1951-02-01",10.62
"1951-03-01",12.83
"1951-04-01",16.545
"1951-05-01",20.735
"1951-06-01",25.17
"1951-07-01",29.135
"1951-08-01",27.015
"1951-09-01",26.37
"1951-10-01",20.785
"1951-11-01",13.05
"1951-12-01",10.05
"1952-01-01",10.115
"1952-02-01",9.495
"1952-03-01",9.5
"1952-04-01",16.09
"1952-05-01",22.355
"1952-06-01",26.275
"1952-07-01",28.34
"1952-08-01",27.09
"1952-09-01",26.525
"1952-10-01",22.01
"1952-11-01",12.035
"1952-12-01",8.62
"1953-01-01",11.525
"1953-02-01",9.97
"1953-03-01",13.895
"1953-04-01",16.2
"1953-05-01",18.22
"1953-06-01",26.86
"1953-07-01",27.635
"1953-08-01",27.5
"1953-09-01",25.265
"1953-10-01",20.25
"1953-11-01",15.135
"1953-12-01",8.695
"1954-01-01",10.755
"1954-02-01",14.37
"1954-03-01",13.05
"1954-04-01",19.445
"1954-05-01",21.31
"1954-06-01",25.705
"1954-07-01",27.405
"1954-08-01",24.98
"1954-09-01",25.45
"1954-10-01",21.37
"1954-11-01",15.615
"1954-12-01",11.425
"1955-01-01",6.74
"1955-02-01",8.435
"1955-03-01",13.54
"1955-04-01",16.21
"1955-05-01",20.32
"1955-06-01",25.97
"1955-07-01",26.605
"1955-08-01",24.32
"1955-09-01",24.655
"1955-10-01",21.495
"1955-11-01",13.715
"1955-12-01",12.105
"1956-01-01",12.415
"1956-02-01",7.91
"1956-03-01",13.41
"1956-04-01",15.395
"1956-05-01",22.195
"1956-06-01",27.93
"1956-07-01",27.32
"1956-08-01",26.265
"1956-09-01",26.095
"1956-10-01",20
"1956-11-01",12.87
"1956-12-01",10.135
"1957-01-01",10.48
"1957-02-01",14.195
"1957-03-01",13.25
"1957-04-01",16.15
"1957-05-01",19.17
"1957-06-01",27.64
"1957-07-01",28.44
"1957-08-01",26.115
"1957-09-01",25.175
"1957-10-01",18.23
"1957-11-01",10.585
"1957-12-01",10.675
"1958-01-01",8.615
"1958-02-01",11.34
"1958-03-01",10.085
"1958-04-01",15.55
"1958-05-01",23.29
"1958-06-01",27.5
"1958-07-01",28.13
"1958-08-01",26.17
"1958-09-01",24.235
"1958-10-01",19.88
"1958-11-01",12.84
"1958-12-01",11.865
"1959-01-01",10.675
"1959-02-01",9.545
"1959-03-01",13.095
"1959-04-01",18.225
"1959-05-01",20.695
"1959-06-01",27.88
"1959-07-01",27.705
"1959-08-01",25.075
"1959-09-01",24.57
"1959-10-01",19.835
"1959-11-01",12.85
"1959-12-01",9.76
"1960-01-01",6.88
"1960-02-01",7.905
"1960-03-01",15.19
"1960-04-01",17.79
"1960-05-01",20.925
"1960-06-01",27.09
"1960-07-01",28.76
"1960-08-01",27.36
"1960-09-01",25.855
"1960-10-01",18.69
"1960-11-01",14.625
"1960-12-01",8.885
"1961-01-01",10.765
"1961-02-01",10.995
"1961-03-01",13.275
"1961-04-01",17.56
"1961-05-01",21.935
"1961-06-01",27.375
