,"(mm) Precipitation (PRISM MONTHLY) at -110.8661E,31.8214N, Jan 1950 to May 2022"
"1950-01-01",10.94
"1950-02-01",33.4
"1950-03-01",7.96
"1950-04-01",0
"1950-05-01",0.76
"1950-06-01",22.01
"1950-07-01",153.83
"1950-08-01",24.67
"1950-09-01",5.84
"1950-10-01",0
"1950-11-01",0
"1950-12-01",0
"1951-01-01",40.82
"1951-02-01",6.92
"1951-03-01",6.68
"1951-04-01",39.18
"1951-05-01",13.32
"1951-06-01",0
"1951-07-01",65.86
"1951-08-01",106.13
"1951-09-01",19.8
"1951-10-01",54.49
"1951-11-01",24.57
"1951-12-01",38.84
"1952-01-01",28.66
"1952-02-01",3.4
"1952-03-01",65.24
"1952-04-01",40.77
"1952-05-01",0
"1952-06-01",16.69
"1952-07-01",51.82
"1952-08-01",95.91
"1952-09-01",21.06
"1952-10-01",0
"1952-11-01",48.11
"1952-12-01",19.94
"1953-01-01",0.1
"1953-02-01",21.62
"1953-03-01",35.99
"1953-04-01",4.23
"1953-05-01",2.01
"1953-06-01",3.02
"1953-07-01",97.98
"1953-08-01",26.49
"1953-09-01",0
"1953-10-01",2.54
"1953-11-01",2.89
"1953-12-01",2.85
"1954-01-01",28.21
"1954-02-01",11.33
"1954-03-01",52.02
"1954-04-01",0
"1954-05-01",19.99
"1954-06-01",20.68
"1954-07-01",118.35
"1954-08-01",95.33
"1954-09-01",42.59
"1954-10-01",8.79
"1954-11-01",0
"1954-12-01",2.89
"1955-01-01",57.65
"1955-02-01",8.62
"1955-03-01",0
"1955-04-01",0
"1955-05-01",0
"1955-06-01",0
"1955-07-01",102.04
"1955-08-01",173.29
"1955-09-01",4.84
"1955-10-01",19.97
"1955-11-01",0
"1955-12-01",7.55
"1956-01-01",26.78
"1956-02-01",17.02
"1956-03-01",0
"1956-04-01",6.84
"1956-05-01",0
"1956-06-01",9.41
"1956-07-01",77.21
"1956-08-01",32.24
"1956-09-01",4.04
"1956-10-01",7.94
"1956-11-01",0.52
"1956-12-01",5.02
"1957-01-01",45.56
"1957-02-01",8.07
"1957-03-01",25.14
"1957-04-01",7.61
"1957-05-01",9.34
"1957-06-01",11.27
"1957-07-01",68.5
"1957-08-01",87.82
"1957-09-01",0.64
"1957-10-01",40.18
"1957-11-01",20.82
"1957-12-01",12.3
"1958-01-01",0
"1958-02-01",35.49
"1958-03-01",75.79
"1958-04-01",18.07
"1958-05-01",0.52
"1958-06-01",16.52
"1958-07-01",111.42
"1958-08-01",106.94
"1958-09-01",41.58
"1958-10-01",14.96
"1958-11-01",23.21
"1958-12-01",0
"1959-01-01",0
"1959-02-01",21.53
"1959-03-01",0
"1959-04-01",3.41
"1959-05-01",0
"1959-06-01",4.74
"1959-07-01",109.6
"1959-08-01",103.08
"1959-09-01",4.87
"1959-10-01",23
"1959-11-01",30.21
"1959-12-01",49.97
"1960-01-01",69.86
"1960-02-01",12.32
"1960-03-01",8.5
"1960-04-01",0
"1960-05-01",0
"1960-06-01",0.48
"1960-07-01",61.38
"1960-08-01",74.13
"1960-09-01",31.84
"1960-10-01",34.45
"1960-11-01",0.04
"1960-12-01",23.78
"1961-01-01",31.6
"1961-02-01",3.21
"1961-03-01",6.1
"1961-04-01",0
"1961-05-01",0
"1961-06-01",5.53
"1961-07-01",84.59
"1961-08-01",124
"1961-09-01",35.15
"1961-10-01",36.89
"1961-11-01",16.93
"1961-12-01",55.94
"1962-01-01",47.22
"1962-02-01",10.59
"1962-03-01",21.19
"1962-04-01",0
"1962-05-01",0
"1962-06-01",5.46
"1962-07-01",66.85
"1962-08-01",22.56
"1962-09-01",58.78
"1962-10-01",3.26
"1962-11-01",5.76
"1962-12-01",46.31
"1963-01-01",22.13
"1963-02-01",23.62
"1963-03-01",13.33
"1963-04-01",10.57
"1963-05-01",0
"1963-06-01",0
"1963-07-01",60.49
"1963-08-01",107.43
"1963-09-01",29.07
"1963-10-01",19.92
"1963-11-01",47.44
"1963-12-01",10
"1964-01-01",4.31
"1964-02-01",2.89
"1964-03-01",22.59
"1964-04-01",11.13
"1964-05-01",0
"1964-06-01",6.38
"1964-07-01",106.4
"1964-08-01",116.25
"1964-09-01",107.46
"1964-10-01",35
"1964-11-01",24.82
"1964-12-01",12.7
"1965-01-01",16.6
"1965-02-01",25.52
"1965-03-01",10.07
"1965-04-01",13
"1965-05-01",0
"1965-06-01",3.28
"1965-07-01",72.9
"1965-08-01",61.47
"1965-09-01",28.33
"1965-10-01",0
"1965-11-01",15.73
"1965-12-01",189.55
"1966-01-01",40.53
"1966-02-01",63.91
"1966-03-01",2.41
"1966-04-01",0.96
"1966-05-01",0.79
"1966-06-01",8.44
"1966-07-01",106.52
"1966-08-01",121.14
"1966-09-01",60.55
"1966-10-01",10.18
"1966-11-01",17.53
"1966-12-01",9.62
"1967-01-01",2.35
"1967-02-01",4.85
"1967-03-01",8.41
"1967-04-01",12.27
"1967-05-01",9.94
"1967-06-01",20.94
"1967-07-01",116.37
"1967-08-01",65.3
"1967-09-01",33.63
"1967-10-01",18.63
"1967-11-01",15.75
"1967-12-01",147.17
"1968-01-01",15.94
"1968-02-01",34.42
"1968-03-01",38.76
"1968-04-01",10
"1968-05-01",0
"1968-06-01",0
"1968-07-01",85.95
"1968-08-01",85.05
"1968-09-01",6.07
"1968-10-01",4.66
"1968-11-01",20.8
"1968-12-01",29.12
"1969-01-01",15.53
"1969-02-01",21.63
"1969-03-01",13.03
"1969-04-01",0.39
"1969-05-01",9.91
"1969-06-01",0
"1969-07-01",94.14
"1969-08-01",99.57
"1969-09-01",33.02
"1969-10-01",1.83
"1969-11-01",28.53
"1969-12-01",19.06
"1970-01-01",0
"1970-02-01",10.73
"1970-03-01",42.63
"1970-04-01",4.54
"1970-05-01",0
"1970-06-01",6.41
